PROLIFIC_ID,time_s6,dt_Achiev_01,dt_Activ_01rev,dt_Altru_01,dt_Angry_01,dt_Anxiet_01,dt_Assert_01,dt_Compet_01rev,dt_Complianc_01,dt_Delib_01,dt_Depress_01rev,dt_Dutif_01rev,dt_Excite_01,dt_Fantasy_01,dt_Gregar_01,dt_Impuls_01,dt_Indiff_01,dt_Modest_01,dt_Order_01,dt_SelfAss_01,dt_SelfDisc_01,dt_Shame_01,dt_Straight_01,dt_Tender_01,dt_Trust_01,dt_Vulner_01,dt_Warmth_01rev,dt_Achiev_02,dt_Activ_02,dt_Altru_02,dt_Angry_02,dt_Anxiet_02rev,dt_Assert_02,dt_Compet_02,dt_Complianc_02,dt_Delib_02,dt_Depress_02rev,dt_Dutif_02rev,dt_Excite_02,dt_Fantasy_02,dt_Gregar_02,dt_Impuls_02,dt_Indiff_02,dt_Modest_02,dt_Order_02,dt_SelfAss_02,dt_SelfDisc_02,dt_Shame_02,dt_Straight_02,dt_Tender_02,dt_Trust_02,dt_Vulner_02,dt_Warmth_02rev,dt_Achiev_03,dt_Activ_03,dt_Altru_03,dt_Angry_03,dt_Anxiet_03,dt_Assert_03,dt_Compet_03,dt_Complianc_03,dt_Delib_03,dt_Depress_03rev,dt_Dutif_03rev,dt_Excite_03,dt_Fantasy_03rev,dt_Gregar_03,dt_Impuls_03,dt_Indiff_03,dt_Modest_03,dt_Order_03rev,dt_SelfAss_03,dt_SelfDisc_03rev,dt_Shame_03,dt_Straight_03,dt_Tender_03,dt_Trust_03rev,dt_Vulner_03rev,dt_Warmth_03rev,dt_Achiev_04,dt_Activ_04rev,dt_Altru_04rev,dt_Angry_04,dt_Anxiet_04rev,dt_Assert_04,dt_Compet_04rev,dt_Complianc_04,dt_Delib_04rev,dt_Depress_04,dt_Dutif_04rev,dt_Excite_04,dt_Fantasy_04,dt_Gregar_04,dt_Impuls_04,dt_Indiff_04,dt_Modest_04,dt_Order_04rev,dt_SelfAss_04,dt_SelfDisc_04rev,dt_Shame_04,dt_Straight_04,dt_Tender_04,dt_Trust_04rev,dt_Vulner_04,dt_Warmth_04rev,esm_Achiev_01,esm_Delib_01,esm_Fantasy_02,esm_Impuls_02,esm_Selfass_01,esm_Straight_01,esm_Tender_01,esm_Vulner_01,s8p_Duty,s8p_Intellect,s8p_Advers,s8p_Mating,s8p_Positiv,s8p_Negativ,s8p_Decept,s8p_Social,mc_Revstrat_01,mc_Revstrat_02,mc_Revstrat_03
5fa702e0ca56263f5868c6e1,366,4,4,5,4,2,3,3,5,4,4,4,5,3,4,4,4,4,4,4,4,4,5,4,5,4,5,4,4,5,4,5,4,4,3,4,4,4,5,5,4,2,3,2,5,3,4,5,4,3,4,4,4,4,4,3,4,3,2,5,2,2,4,4,4,3,2,4,4,4,4,5,5,3,4,4,4,4,5,3,4,2,4,5,3,3,4,2,2,2,4,3,5,2,4,4,3,4,4,4,4,3,3,3,4,3,4,5,5,4,4,3,2,4,4,3,3,4,3,4,4,i wouldn't try to get revenge,i would make plans and not invite him,i would leave without paying
5f9a0f1dba641d12282c8e41,669,2,3,3,3,4,4,4,3,3,4,3,4,4,2,3,4,2,3,3,2,1,2,4,3,2,3,4,2,3,4,3,4,2,3,2,4,3,2,4,3,2,3,2,3,3,3,3,4,3,2,3,2,3,2,3,2,2,4,2,3,3,2,2,3,4,2,2,2,2,4,2,3,2,3,4,3,4,2,3,4,3,3,4,3,3,3,2,2,3,2,3,2,3,2,4,3,2,3,4,2,3,2,2,3,2,3,4,2,3,4,3,3,2,3,4,2,3,4,3,3,He smoke weed at the work. ,"I broked my arm because i was on my house and my neighbour need help, so when i was to helped him I broken my arm with a hammer.",I call the police and say that the people next to me are talking about the importation of drug and how and where they are going to stay.
5dc881e03317735fc048f9a2,668,3,1,2,4,3,3,2,3,2,1,3,2,2,2,2,3,2,3,3,4,2,3,2,2,4,2,2,3,3,2,3,4,3,4,3,3,5,2,3,3,2,4,2,2,4,4,4,4,3,3,4,3,3,4,4,3,3,4,4,3,3,2,3,2,5,3,3,3,2,3,4,3,3,4,2,4,4,3,3,5,4,4,2,4,4,3,3,3,4,2,2,2,3,3,3,3,3,2,4,3,2,4,4,4,4,3,4,2,4,4,3,2,5,5,3,3,4,2,2,4,Ask questions in public he can't answer to make him look stupid,Make sure they know I know & try and make them feel guilty,Call the police and tell them they've been drinking / driving
5ca2619c9cd82b00014fe986,698,1,3,3,1,3,2,1,1,1,1,2,4,1,1,1,4,1,4,5,2,3,2,3,3,3,4,3,3,2,2,3,1,3,2,3,2,3,3,3,2,3,4,3,4,2,3,3,2,4,5,3,3,3,3,4,2,3,3,4,3,2,3,3,2,3,1,3,3,1,2,3,3,2,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,5,3,3,3,4,3,3,3,1,3,5,3,3,2,2,1,3,3,3,4,4,2,3,4,1,2,3,"Look for chances in the future, strike when the ""colleague"" will not see it coming.",Don't invite them to a nice party or dinner that I organize.,"Would not care about getting ""revenge"", would ask waiter to be seated at a different table because of noise."
611190c3d90f74ade97c7e79,1050,2,3,2,4,2,2,5,2,4,3,5,3,4,3,4,2,2,1,5,3,4,1,2,4,3,2,4,4,1,3,3,1,2,2,2,3,4,2,2,3,3,2,3,4,1,2,5,1,4,3,2,1,2,1,1,4,1,2,3,1,4,4,3,2,2,2,4,2,1,5,1,1,4,1,4,2,4,3,2,3,4,4,4,1,5,2,2,2,4,2,1,2,4,2,3,3,1,1,4,2,4,3,2,3,2,1,1,1,3,1,1,1,4,5,3,2,5,4,3,5,"Eat their lunch.
",Find a new friend group and make them jelous on social media.,Ask waiter to bring a cake with will you marry me written on it on to their table
60ca1032f94893901b884964,1019,4,2,2,1,2,1,4,4,1,3,3,3,3,1,1,4,2,4,3,1,4,2,1,2,4,2,5,5,3,2,4,4,2,4,3,3,3,4,3,2,4,4,4,2,4,1,2,3,4,5,4,2,4,3,3,2,1,4,2,3,2,2,4,3,2,3,2,2,2,3,2,5,3,2,3,3,4,2,2,4,4,4,4,4,4,2,2,3,3,4,2,2,3,3,3,3,2,3,4,4,3,1,3,4,4,3,4,1,1,1,1,1,3,4,2,4,4,3,3,3,the same strategy talk with him,i would preffer to not say nothing about the meeting to not make uncomfortable the moment,i will talk to the manager to do something or i will be very upset and will not pay the service
616ec4d19fc1b4726c15d3ab,1040,4,2,1,4,2,1,3,4,3,3,5,4,5,5,3,5,4,5,4,2,4,3,2,2,2,4,5,5,2,2,5,5,5,4,2,4,5,3,5,4,3,4,2,5,5,1,5,4,1,4,4,4,5,4,2,5,2,4,5,4,2,2,5,1,2,2,4,3,4,2,5,5,3,4,2,4,2,4,5,4,5,5,3,5,2,2,4,2,5,2,5,5,4,3,4,4,5,4,4,4,2,4,4,5,4,4,4,3,4,4,2,4,5,5,3,4,5,3,4,4,We both tried to come up with this solution and this is what we came up with. . Using We instead of I to uplift others as well. ,Not to dwell on the past and live in the here and now,I believe in respecting others and not to be the centre of attention by doing something bad or make others feel uncomfortable
5f63c878ada299117839871b,1070,4,1,1,5,1,4,1,3,1,1,4,2,1,4,4,3,1,5,1,1,4,3,1,2,2,5,4,4,2,1,3,4,3,2,1,1,4,3,4,5,4,2,2,4,4,1,5,4,3,5,2,4,3,4,1,3,2,3,4,2,2,3,3,4,4,2,4,3,2,1,4,4,2,3,2,2,2,4,4,4,3,4,4,5,4,4,4,3,4,2,2,4,2,3,5,1,3,5,4,4,3,1,3,5,3,2,3,2,4,2,1,1,4,4,2,4,5,1,1,5,force them to make some kind of mistake that the boss will notice and get angry about,"talk about problems you have and make them feel guilty that they are not interested in yourself
","
tell a waiter that you saw them stealing something that you actually take and hide in their things"
5fa458b62713510a43fa06a6,1094,4,2,4,3,4,3,2,4,3,2,4,3,2,4,2,3,4,4,2,2,4,2,2,3,4,4,4,4,2,2,2,3,4,3,3,2,4,3,2,4,2,2,3,4,4,2,3,4,3,3,4,4,4,4,2,3,4,4,4,2,2,4,4,3,4,4,2,2,4,2,4,5,2,4,2,4,3,5,4,3,4,2,4,5,1,2,4,4,5,3,4,4,1,2,4,4,5,5,2,3,2,4,4,4,5,4,5,4,4,4,4,5,4,4,4,4,5,4,3,4,Add something more to the idea which will seem that I am the owner of the idea.,Go with other friends for a dinner and post a picture as well and show that I don't care.,"Let my date ask them as she is a girl, they will obey her."
5f9bfbae0517c60102da9e57,1244,2,3,1,1,4,3,2,3,1,2,4,1,1,3,3,2,4,3,5,2,4,2,1,2,5,4,4,4,1,3,5,2,5,2,2,3,5,1,1,4,2,4,1,5,2,2,4,2,2,3,5,3,3,2,1,5,1,4,4,1,2,3,2,1,5,1,1,2,1,4,4,2,4,2,2,4,2,4,2,5,4,5,5,2,5,1,4,4,4,1,1,1,2,4,1,4,4,4,5,1,1,4,4,4,4,4,3,5,4,4,2,1,5,4,2,1,3,1,1,5,act like it was our idea together,tell them how you saw someone on the social media feed eating dinner at that place they went to,pay for whatever we had until that and leave
